source,shop_slug,shop_name,type,coupon_code,title,description,cta_url,starts_at,expires_at
gmail_structured,dockyard,Dockyard,coupon_code,02224914,⛷️ Hóra fel: sí akció minden termékre,15% kedvezmény hétfőig ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,https://dockyard.acemlnb.com/p_v.php?l=2&c=5433&m=5116&s=fad02224914b60b5790379a34960abff,2025-12-11T08:36:50.000Z,
gmail_structured,unknown,unknown,coupon_code,GLAMOUR,💗Indul a GLAMOUR-napok áruházainkban és webáruházunkban,20% kedvezmény minden Brendon márkájú baba- és kismamaruhára ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,http://www.w3.org/1999/xhtml,2025-12-11T08:02:47.000Z,
gmail_structured,drlumbar,Dr. Lumbar,coupon_code,PROACTIVE,"🌿Ha estére minden izom merev és feszül, segíthet a természetes támogatás",Proactive Herbal+ gyógynövénykrém | 30% kedvezmény dec 14-ig → ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,https://www.drlumbar.hu/collections/all-1),2025-12-11T07:01:49.000Z,
gmail_structured,mvm-dome,MVM Dome,coupon_code,DOCTYPE,1+1 Big Time Rush VIP jegy akció!🔥,͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌ ‌͏‌,https://www.w3.org/1999/xhtml,2025-12-10T18:06:30.000Z,
gmail_structured,fizz,FIZZ,coupon_code,318263,Csak egy kattintásra a tökéletes ajándékod!,Készülj a karácsonyra kedvezményekkel. Nem jelenik meg a levél? Kattints ide! karacsony airpods Apple AirPods Pro 3. Generációs USB-C MagSafe Tokkal Forgalmazó: Bestbyte 3.000 Ft kedvezmény a FK3BHF50,https://view.mail.fizz.hu/?qs=01a770e0d53bbe8b737cfc8d81b57aa7f68c0301fd5a45aacef7e0e85bf0f7d5d318263facf45357be2199d8edb76157062ad9929d71044a480d30165f1972efcc55ce9eebaebeb505089bb4fe71d4fd,2025-12-10T14:02:51.000Z,
gmail_structured,unknown,unknown,coupon_code,JQXFV,🎄 Fedezd fel az Eyerim adventi naptárának mai meglepetését!,"-50% minden lencsefejlesztésre, csak ma ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏",https://cdn.exponea.com/eyerim-global/e/.eJwTUuB8xTnJT9f5qiErq_v5xD1mn2dO_XPyiAdzmUOxu43trl1SYhklJQXFVvr65eXleqmVqUWZuXoZpfpaTBmlhj8Kw5fF-N1ytOLlYiotFmJPrSjIz0tNtOIGcnOFWFNzEzNzrCSBnGQhYUMDF1fneMeUstS8kngfV79gUwMrTi7m0uR8IaBRUd76-kn5KZX6JYlJOanRhrH6JRBukX5JCkQQUyTaCFlZBkhXSmaZfmKSj5lZcnKKqZGhibmhhbmxRWpNUWp6ZnFJalFqilVSaVZKfnG-XmJRXn5OigOUm1mUn5Kol5yfW2OakpZqZpCalGhikppmmJaUxZPoOTPJNWDO7l3cEesamJgBWhFqoQ.dqsKmMfu-NuJug/click],2025-12-10T13:16:09.000Z,
gmail_structured,griffconnect,Griffconnect,coupon_code,FONTOS,VILÁGMÁRKÁK BESZERZÉSI ÁRON...,VÉGKIÁRUSÍTÁS...‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,http://r.griffconnect.com/mk/mr/sh/7nVTPdZCTJDXPITnuJbB9H0WYTqIJxC/5F66bU3mBw-_),2025-12-10T11:31:40.000Z,
gmail_structured,unknown,unknown,coupon_code,4801314,🤩Ezek a kedvenc stílusaink a bevásárló napokról   ,A lágy tónusoktól az ipari stílusig feny24.hu Human score Trustpilot Stars number of reviews Trustpilot Logo Online Verzió Belső lámpák Kültéri lámpák Leárazás % image Az Ön kódja**: VASARLAS Lágy,https://news.feny24.hu/u/nrd.php?p=KmANwUtgmX_5555_4801314_1_2&ems_l=5613938&i=1&d=MzExNTY1MTQw%7CS21BTndVdGdtWA%3D%3D%7COTA0N2VlZTEzNTAzNzA2NzQ3NDdlYTAyOTJjNjkzNmE%3D%7CMjAyNTEyMTBfc2FsZV9zdHlsX25sX3Byb2Rpc2Nfd21vdl9odQ%3D%3D%7Cbmwtc2FsZQ%3D%3D%7CTG9nbw%3D%3D%7C&_esuh=_11_a67b618b283a5eb2986ce1db568fbbbea6fe99a7072f2ea97a4ce2da4e4590ba,2025-12-10T09:01:39.000Z,
gmail_structured,fizz,FIZZ,coupon_code,809179529,Ne várd meg az első havat: most könnyebb téli gumira váltani,"Téli autófelszerelések a Fizztől Nem jelenik meg a levél? Kattints ide! teligumi Kedves Arnold! Megérkezett a tél és ez nemcsak a hangulatot és az öltözködést változtatja meg, hanem a vezetést is.",https://view.mail.fizz.hu/?qs=df16e1666d774acd9e770eadfeb158dbae46b7847edbff46ee949281022489be668cf410e21debe1a2c32ea60ba4207afb809179529c849c92cbef33e5ea054df05f2901b288c1a3d261063efd6aec50,2025-12-09T18:04:28.000Z,
gmail_structured,allegro,Allegro,coupon_code,DOCTYPE,Második adventi hét 🕯️🕯️,Újabb kupon a tiéd ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,http://www.w3.org/TR/1999/REC-html401-19991224/loose.dtd,2025-12-09T14:23:00.000Z,
